review_title	review_content	movie_rating
 Why's it in English?? 	Couldn't get past the 1st episode. I found it so inauthentic being in English, actors unable to even pronounce their russian name properly :/ That completely killed it for me	1
 It's flawed in serious ways, and contains a Mary Sue character. 	There are a few fatal flaws with the show which I will outline:1) The female character who 'figures everything out' and saves millions of lives is pure fiction, and based on an amalgam of three male scientists, which is what I've read in a number of articles. (Without knowing anything and watching it, I suspected her character was fiction.)For this, I take off 6 points.2) It needed more character development in the beginning. We're thrown into the thrust of the disaster, without hardly knowing any of these people. Remove three stars for this. Bad storytelling. You need at least an episode to set things up, there's no rush to get to the disaster itself - we know what is coming.For this I remove 2 points.3) Not much time given to explain WHY the disaster happened. The first episode and second could have dealt with this, and showed all the wrong steps that led to it.For this I remove 1 point.I think the rating is high because it does depict a tragic, scary event in a fairly compelling way at first, where the audience begins to feel the fear and gravity of what is unfolding, as characters are not mentally grasping it until later. But I'm a bit surprised at the rating, because it can get a bit boring, too.If the above issues were fixed, I would obviously give it a much higher rating. More care should have gone into crafting the miniseries from a story standpoint, and a Mary Sue should never be used, that is intellectually dishonest and misleading, if you are presenting a real event.	1
 I gave it only 1 star and here is why 	The film invokes strongest emotions and shakes people up with documentary style realism, but the overall storyline is a primitive piece of the cheapest propaganda which you are forced to accept unquestioningly... It took me only a minute of fact checking to realize that the diabolical KGB plot to keep reactor deficiencies a state secret simply didn't exist, and couldn't have existed because it was way out of their league both intellectually and legally. Who in the right mind and in what Universe (or alternate reality) would keep critical nuclear reactor parameters from the very nuclear scientists that run the reactors (all 16 of them)?.. And that is the major secret uncovered by non-existing female nuclear physicist who comes out of the blue and starts investigating the disaster! That is just plain UNREAL. It is very sad to see that even such Tragedies do not stop artists from disseminating utter BS.	1
 Undermined by ideology 	Overall solid. They obviously tried to ensure historical accuracy of all characters and the timeline of events. However, one thing - and a big thing - is the invention of an entirely fictional character, Ulana Khomyuk. She is the only one who can reasonably be described as fully competent, interested in the greater good, brave and who avoids a larger catastrophe. This is even more jarring when contrasted with the historical veracity of *all* other characters portrayed. The only good thing is that she is so over the top good and Mary Sue that people will research her character - only to learn that she never existed. As Adam Higginbotham - an actual expert on the disaster - points out, it is curious that her character is based on the composite of three male scientists, two of them reactor experts who found the cause of the disaster basically immediately.So overall, this had the potential to be a good show, but it was completely - and needlessly - ruined by pushing a hateful ideology.The invention of the ahistorical character compromises the integrity of the show and is - frankly - offensive to the thousands of people who died in this disaster and the actual heroes who will now remain nameless.	1
 Felt embarrassingly phoney to me 	I cant understand people raving about this ? two eps in i went searching for why it felt so cliched overwritten plodding laboured and just...made up. I soon found all the reasons this feels phoney, because it is. Just Google what did the hbo mini series Chernobyl get wrong. Yeah i know nothing about Chernobyl folks but i know a piece of crap when i see one and this is that. Comparing this to the creation of BB and Sopranos is just absurd.	1
 How it has such good reviews is beyond me 	Watching Brits pretend to be Ukrainians without doing any dialogue work or taking any care to pronounce things correctly is bad enough... But the Camera work and the editing!!! It is so bad . Such a shame that this was the direction the show took. The story is there. The writing is good. The set dec is good the locations are great. The History revealed but it all falls apart. The acting is Lazy. The camera work equivalent to a first year film student (Shaky and inconsistent framing) and the editor likely had no training at all. Breaking rules should happen in film. However you need to know the rules first.	1
 Slow and boring! Overrated show. 	I think the only reason this show is getting positive reviews is because it is based on one of the most horrifying true events that had happened till date. Apart from that, there is nothing special about it. Hardly anything interesting ever happens. It is so very slow inspite of being just 5 episodes long. I seriously don't get how literally everyone is giving this show above 9 rating. There are so many better shows than this. Utopia, Dark to name a few. It probably would have been more intriguing if it was an actual documentary.	1
 So bad it hurts 	Renck should be disarmed and deported to Madonna vids for as long as he lives. So much potential of doing something great and end up with a stiffs like Skarsgard & co. Looks like a Swedish television production, and no that's not a good thing. Propaganda written all over. Do not waste your time.	1
 overrated trash 	So boring, dumb characters, slow-moving plot. actually funny seeing the high ratings and 'BeSt ShOw EvEr' reviews. i guess people have grown accustomed to horrible shows such as this and HBO's other disaster (which shall not be named) to actually consider this any good.	1
 Boring, pointless 	Started really well in the first episode and seemed to live up to the hype. Then all of these pointless 'human stories' started, which were poorly written and poorly acted. The characters were hollow and I didn't care at all about any of them. Nothing was happening and it just dragged on and on, which is not a feeling you expect from a five episode mini series. If it was three and a half episodes shorter it would have been spot on but with how boring it was I didn't get to the end of episode 4. The English accents were also rubbish.	1
 Overrated 	Hugely overrated, fake hype.Its a normal TV Show. It ain't bad nor great, its normal. Everything about it is normal, from acting to script. Don't understand the hype, don't people learn about Chernobyl in School?	1
 Revised my Rating from 10 to 1 after Fact-Checking!!! 	Medical Fiction & only planting False Fears in our Population (Well made & enjoyable as a Melodrama... but completely undermined by the False Medical Effects and completely Epidemiologically Unaware Statistics)	1
 American propaganda filled series which is also super overrated 	This is one of the most overrated propaganda filled series out there which is also very successful in showing their awful lies, this series is trying so hard to be an anti communist series which makes it as bad as it seem, visuals are superb but its grayed by the way they portrait what they want bad and what they want good i would love to see a series about crimes britian did to humanity and races which would never happen because they never does anything wrong according to themselves.	1
 99% inaccurate, horrible acting, poorly paced 	Filled with terrible acting, completely false events, and 0 science. The central plot claims to be spearheading science over misinformation while in actuality not even taking the time to read a single real account or report of the situation. This show is filled with more misinformation about the event than even the Soviet Union provided at the time.	1
 Is it so hard to find Russian actors? 	Don't understand why it's so hard to find real russian-speaking actors for this. otherwise, just don't make it at all. genghis khan played by john wayne. a half-asian played by emma stone. cultural appropriation lives on..	1
 Yeah, no. 	As i expected, pure propaganda. Can't continue watching it. The acting is decent, but the agenda behind it is what makes most of it irrelevant. USSR was clearly no picnic, bit the way they are presented here is disgusting. For example, the decision to evacuate it did not take this long. In fact the evacuation was ordered as soon as they saw that the high level of radiation can not be contained. Did they try to cover it up? Of course. World powers always try to cover their problems. This never changes. However they did not sacrafice their people for it.I know i will get a lot of minuses here, i always do when i call out propaganda shows. But don't let that fool you into thinking that this is a documentary.	2
 A piece of anti-Soviet propaganda mingled with a real story 	The events surrounding Chernobyl nuclear power plant catastrophe deserve honest and unbiased account.Yet, despite all these years since the events, nothing of sorts made it to the film screens. HBO's Chernobyl is no exception.The movie uses real events as a pretext to weave in fictional characters, events that didn't happen, as well as skew some of the real events to suite the director's vision.Examples: Legasov's notes were never secretly dumped into trash, Khomyuk character never existed, the Bridge of Death is an invented event, helicopter never crashed when dumping sand and boron onto exposed reactor (this happened much later when helicopter crashed into a crane that was installing the Shelter), there was no suicide mission to drain the water tanks, the Pripyat evacuation was not delayed, etc.So many intentional inaccuracies and lies.During Chernobyl events there were a lot of mistakes made, there were right decisions made, yet TV series focus is all black. Tens of thousands of engineers, specialists, able citizens, from all over Soviet Union, volunteered to help in Chernobyl clean-up effort, TV series never talks about that.The director's vision is to portray Soviet government as monsters, and Soviet people as backward brutes. This alone is an insult to the unprecedented and heroic effort undertaken by liquidators of the Chernobyl accident consequences.On a side note, kudos to the props team: the cloth, items, buildings, furniture and the surroundings are very close the to the mid 80s Soviet Union. Even some cast looks somewhat like 80s Soviet citizens, not all of them, by far, yet it still shows an effort taken.I will wait for much more truthful movie adaptation of the Chernobyl events, the HBO Chernobyl series deserves 2/10 from my perspective.P. S.: I love how everyone downs vodka at every turn, like it's water. In the height of the Gorbachev's dry law campaign, yeah, right.	2
 Find out the truth! Not in this movie... 	Find out the truth! Not in this movie... I lived in Pripyat. I watched 2 episodes, I couldn't go on. It's lousy to look at a lie, especially a lie 'from the evil one'!The next day, April 26, 1986, I stood with the boys 500 meters from the reactor and watched the smoke coming down from the roof. We walked through the forest, which turned red a year later, and watched the squirrels, one by one, run away... on the ground. And so, after watching the first episode, I asked myself the question: ,, how am I still alive?'. I turned 11 in 1986. So much fear was put on. After 33 years. What for? Yes, everything is terrible, and radiation has claimed the lives and health of millions. But that's not the point of this movie's horror stories. Here they stupidly show the planet of the apes, who took up the atom.Blame the Soviet system? I am afraid to imagine what would happen if the accident occurred in the period after the collapse of the USSR. It seems to me that there would just be panic, chaos, and as always: we don't have money in the budget for this. Ukraine itself would not have coped with a catastrophe of this level. Modern Ukraine, the EU, and the USA, including, forgetting now about the liquidators and victims of the Chernobyl accident, only prove this. God forbid, this is today, thousands of people would have been buried there at once.Then the evacuation was so organized that I still admire the Soviet discipline.And I was very offended by the scene at the bridge. They showed Pripyat residents with some poor hanuriks. Remember for the future the false sensation racers from the West: young families lived in Pripyat, intelligent People, friendly, united by interests and ideas, cheerful and without doping! And it would never occur to anyone to go to the bridge, in fact, outside the city, at night, with half a liter. You know that there is a small theft in this city and the whole city already knew about it. There was such a wall newspaper in the city "Do not pass by". There were photos of drunks hanging there. Few people wanted to become famous throughout the city in this way. Americans, this city is your dream that you will not come true! Alas, we already have too...Fishermen at night could be both on the cold and on the warm channel (this is at the Chernobyl nuclear power plant). They could have seen the explosion. And so, everyone was sleeping, an atomic sleep. At night, an aunt called, worked in touch. They were raised for alerts. She said, they say, close the windows, an accident. No one took this information seriously. We slept on...One plus of such a noise around this sludge, from the directors who tried to throw mud again, and not show the truth: they gave the hero to the liquidators, who really deserved it. After 33 years. Thanks to the film for that! Connoisseurs of those who did not value their health for the sake of our valuable life!	2
 Over the top drama 	Good that HBO got lots of peoples attention to this disaster but the series story is over the top drama. Instead of wasting 7 hours in this series, please watch BBC documentary about same, much better than this over the top drama. Most annoying thing is the story telling and direction is same as the BBC documentary. Don't know how people dont see this as a mediocre.	2
 totally overrated 	Predictable boring almost self indulging.Mediocre acting. Totally overrated. I expected much more but found it very disappointing. Almost an anti-Russia propaganda movie .Many long flat sections in the movie.	2
 If you have a great story 	Why destroy it by inventing a plot that never occured, a true fake "based on reality" production. What a sad waste.	2
 Language discrepancy! 	Not sure why the creators of series like this think that audiences who are expecting authenticity will get past the fact that every "Ukrainian" or "Russian" in the film is speaking British accented English. The signs are all in the Cyrillic alphabet, everyone has Russian surnames, but we are expected to ignore all that and listen to the actors all speaking English from a British Public School. This requires too much effort and is totally distracting. Why not use Russian speaking actors with subtitles. That would have been so much more palatable! This seems to be a very common method in European productions where actors from another country pretend to be natives of the country in which the series is made. So, we have German actors pretending to be Italians, surrounded by Italian signage yet speaking in German, and vice versa. Seriously?I really tried to stretch my imagination to the limit but somehow hearing Comrade Dyalenko speaking in Public School accented English just did not cut it. So much better is the foundational aspect of the event was adapted and set in the UK....it would have been the same element of fantasy required, except the language would then have matched the geography!	2
 English accent 	Hyper-realistic, with too strong English accent. Wish they did with more natives.	2
 Disappointing 	An important historical event such as Chernobyl deserves a compelling narrative. This screenplay has no momentum.	2
 Uninvolving - they should have just made it a fictional account of a British incident 	For me the skill I value above all else in TV and film is IMMERSION. To make me forget that I'm watching a production and believe for a moment i'm there.When it's a tragic incident this is even more important, as we are witnessing an account of real people that were injured and died.This show does not give me that. At all. The intrusive music, swish direction, slow-motion dramatics all takes me out the immersion - and makes me feel like we're watching a disaster movie from the 1990s.The worst thing - by a mile - is that they're all British. This was an incident in the Ukraine. Why is everyone acting like they're in Britain? I pushes the show into absurdity. I'm not saying it all has to be foreign language with subtitles, but The Americans was a great example of using real foreign language actors so that when they even spoke in English you felt it was realistic.The actors you could lift out of any generic BBC police drama - the head of the control room feels like the police boss. The questioning in the 'interrogation' room was absurd and they were seconds away from going "You're nicked!".They should have just made it a fictional account of a UK nuclear disaster and avoided most of the issues above.I'll give it two points as set design wise, it looks great.	2
 Chernobyl 	Well, I cannot believe HBO threw so much money at this project! The first big thing that destroyed it for me was the fact they were speaking English at a nuclear reactor in Ukraine!! Americans!! Unbelievable!!!! The acting was poor apart from the guy who hung himself!! Very disappointing	2
 OVERATED. BORING. I give 2 stars becasue way too slow not whether is accurate or not, or propaganda. 	I can't believe it has a 9.4 rating!A 2 hour movie would have been more enough to tell the story.Acting was good why I give it 2 stars instead of 1.	2
 Russian Cheffs? 	It´s a permanent question for me : Why americans think the rest of the world is less smart than them? Every place in the world never be like USA. Well, England is the same old thing. United Kingdom (Reino Unido en español, le decimos Reino Hundido) has the same egocentric way of thinking about themselves. This Mini series is typical from them. Nothing new at last. THE WORST : That PAUL RITTER comedian , never,never a solid actor with that dumby walk style and that dumby face we can´t think of him as a serious man. The cast looks like a Cheffs Troupe from a cheapy russian restaurant. What a bad look and what a bad choice of the starring roles .PLEASE , NEVER HIRE THAT PAUL RITTER AGAIN	2
 My opinion 	Interesting story, that's why I watched it, but I didn't like it.Smoke. Established in Ukraine/Russia , they speak English.Smoke some more , talk a lot and nothing happens.Good representation for the victims that's why I rate it 2. Sorry the bad review.	2
 It's a show, not a real story 	The rating of this show was very promising. However, the hopes were not justified. The series has nothing to do with the real story. It was created on the materials of the Western press and permeated with hatred for the Soviet Union, so that the Western audience kept all its stereotypes. The main idea is that the authorities of the Soviet Union were more terrible than the Chernobyl disaster. Fortunately people who have experienced all the horrors of this disaster are still alive. And they gradually begin to express their opinion about this show. First of all, nobody worked at gunpoint. The second, all received iodine, other drugs. Third, no one blocked the evacuation, on the contrary, it was organized, albeit not immediately, because authorities did not understand the complexity of the situation. Fourth, none of the workers were interested in the first place, how much money they will receive for the elimination of consequences. These were not those times. When there was a disaster (accidents, earthquakes, etc.), thousands of volunteers came and helped. Fifth, none of the authorities did not communicate with the workers hiding behind the soldiers. All ministers came out of the people and were part of it. Just read their biographies on Wiki. Sixth, no one drank vodka while working there. A dry law was declared there. The entire population was evacuated, shops are closed. There was nowhere to buy vodka even if you would wanted to. But dining rooms were organized for workers, where very good food was offered. No one lived in horrible tents, no one ate bad food, no one drank vodka all the time. There was no fear, no looting, no working at gunpoint. In the film, nuclear power plant workers are shown absolutely incompetent specialists who roam like zombies and do not know what to do. Dyatlov just ran into the bunker saving his life. This was far from this. Just today, because of this disaster, we know more and see more problems and ways to avoid them. These people (scientists, workers, engineers, military) were real heroes. And those who worked there, and those who eliminated the consequences of the accident. The series shows the dirt, sloppiness, drunkenness. And dirty walls and heating batteries even in the hospital. I'm sorry, but I don't think such a story can be described as real.	3
 Just don't get the hype.. 	I watched 4 1/2 episodes of this due to friends basically forcing me to, and I do not understand the hype. It is so boring from start to finish. Yes it is well shot, yes it's pretty to look at, and yes it tells an important story, I understand all of that. What I don't understand is how this has became the "best show of all time" when I fell asleep watching it numerous times. What happened at Chernobyl was a tragedy, and I have 0 doubt that the story was told as well as it possibly could be in this series. With that said, this having almost a 10 on IMDB just makes no sense to me, and I've spoken to several people who agree that it's just a super boring show that should have been done in 3 episodes instead of 5, it just drug on way too long. I hope it eventually comes down to where it belongs, which is nowhere near the top.	3
 If you tell a lie big enough and keep repeating it, people will eventually come to believe it 	Series about american people in soviet decorations. Great filmed, very good Chernobyl decorations, and lots of absolutely idiotic propaganda. The only plus I see - is that people, interested in Chernobyl tragedy history thanks to this series maybe will go further, and learn more about it from documental sources and real videos about great heroic and intelligent people(including most of management), real specialists and fans of their job. This tv series tells part of true about events and technical reasons of tradegy, and absolutely lies about all involved people. You can say that my words are not supported by arguments, but it's too mutch lie in this creation to describe it here. Who wants can find all on internet."If you tell a lie big enough and keep repeating it, people will eventually come to believe it" (Joseph Goebbels)	3
 There are many documentaries about Chernobyl 	Better watch Zero hour documentary from Discovery Channel (2004), it's great and do not have fictional characters like Ulana Khomyuk.	3
 Surprised, but not in a good way! 	At time of writing, Chernobyl has the highest IMDB rating in the history of television and film. So at time of writing, Chernobyl is ranked as the greatest thing to ever grace the screen... Ok, I knew it was never going to live up to that inflated rating, but I expected it to be at least brilliant. IT ISN'T.I have two major, major gripes with the apparent greatest production of all time -1. It didn't engage me. Thats all I ever ask of any film or television program.2. The majority of the characters speak in a London accent. The problem with this is that it is set in Chernobyl which is in the Ukraine. At first I thought these were actual english characters that were working at the plant. I was really surprised that there was so many of them. I then realised that these weren't english characters but were supposed to be Russian/Ukrainian, and in actual fact the actors just can't be bothered to speak in a Russian accent, or we're told not to by the makers. Either way, this is an absolute deal breaker for me. A major turn off. Imagine everybody in Schindler's list speaking in a cockney or scouse accent. Kinda takes away all authentication, right?Chernobyl is not awful. It has a good moody score, good direction. But it is far from great. I feel it's inflated rating will back fire. I expect to see that rating nose dive, as more genuine people watch it and rate it!	3
 3/10 	The idea is good, but done poorly. As always, the devil is in the details. But in the details of this film is very bad. And it's not the actors' fault. Just half the film is prejudice and fiction.	3
 Half truth is worse than a lie. 	Facts turned inside out. It looks like agitation against the USSR. Just watch an interview with the participants. Fortunately, most of them are still alive. For example, type in google "chernobyl asmolov and goblin" (youtube has english subtitles). And by the way, in the USSR at that time there was a prohibition of alcohol. It was very hard to buy vodka. Sad, gray and plays with the facts.	3
 Overrated 	Overrated with mediocre acting and terrible accents, would rather have had subtitles to make it more authentic, don't believe the hype . So many 10/10 reviews make me think that these were done by HBO and sky employees to get subscriptions up especially when the majority of the reviewers have never reviewed anything in the past	3
 Garbage science 	This is a show about Russia's response. Almost all science is garbage and spreads irrational fear of radiation and nuclear reactors.	3
 Slow, badly written 	I give the series credit for doing a series about Chernobyl at all, in hope it will spur people to learn about the incident. It is just badly done. About 25 years ago, I read a U.S. Government report detailing the Chernobyl incident. If you've read government reports, you know the writing is dry, technical, and stiff. That report was far more interesting than this series. The show is badly directed and cut, showing slow action in slow motion; showing people pacing while the action occurs offscreen; etc. The show actually plays down the heroism of many of the plant workers and first responders, which came through clearly in the emotionless report detailing their actions. The report's raw content was enough to deliver a strong emotional impact that has stayed with me these decades. The series does the victims and the world a disservice.	3
 Did this disaster happen in Croydon ?! 	Could they not afford Russian actors ??Why is the English people running about dressed as Austrian bakers. Ffs.Overhyped nonsense.This was as accurate as nothing.	3
 Good PR, mediocre series for the avrg American 	The Russians and BieloRussians give it a 10 for obvious reasons.Besides HBO's PR Department, there is nothing special to this series.	3
 Why are they British? 	Absurd that they made everyone have a British accent. Ruined it for me.	3
 I liked it, but didn't love it.. 	I really appreciate the work that went in to telling the story, I really liked that the effects were very realistic and everything, but I think it's a bit overhyped in my opinion. That could just be because I've studied the whole thing and watched many documentaries over the years that to me it felt over dramatized.. I also was obviously distracted by the fact the Russians didn't sound at all Russian.. nobody even attempted to try to sound Russian..Don't get me wrong, I recommend it.. you will probably enjoy it! it just wasn't exactly for me.. I got pulled in by the hype train and I was into it for a couple of episodes before I lost interest.	3
 amazing acting 	Not what I expected it to be but still worth watching	3
 Ruined by English accents, stereotypes, slow-motion dialogue. 	The variety of English and American accents ruins the telling of a historical event.The dialogue is so awkward, heavily leaning on stereotypes and cliches while moving in slow-motion.Visuals are pretty good....probably not going to get past episode 3.	3
 Nice accurate series, accents of the characters questionable... 	The miniseries is a very good accurate representation of the time and you can understand what the people went through in that time.... However it is extremely distracting that most of the main characters have a strong brittish or american accent.... It does not have to be in russian and ukranian but at least there should be a consistency about the accents but like this it unfortunately destroyed the authenticity of the show...Still watchable though	3
 Accents killed this movie 	Accents ruined this movie from the start. Didn't know Chernobyl was in England fs. First 4 episodes were boring. Last episode was good. Overall trash	3
 It's not a doc 	But most of all, for not saying pure anti communist propaganda from the beggining to the end, it's job is to condemne russians as total insane, stupid, ignorant, negationist and authotitaryans, besides that, there are good action scenes, scenarium, great acting and characters by Emily Watson and Jared Harris..After all, there's a lot of fiction to create all the drama and villany.	3
 predictably depressing..but.. 	What a waste of a Stellar Cast...the utterly miserable and depressingly predictable story line ...never waded. into anger, passion , rage,...all very ...banal...	3
 depressing & predictable... 	No power.. no hope..bi light. whatc a waste of talent ...	3
 What a HUGE letdown 	This series had a story that was neither compelling or satisfying. What a waste of a huge budget. Thrown together scenes that didn't add much to the STORY, which was lacking. It had great promise but fell flat and short. The only thing good in it was Stellen Skarsgards character and acting. Unsure why it rates so high but it's pure drivel.	3
 The writing fails at nearly every single level 	The fact that this miniseries exists and people believe it to be a perhaps embellished, but ultimately accurate depiction of anything that happened in real life is a testament to everything wrong with TV series and the people who consume them. The series gets so many things so absolutely wrong it's a mystery why the writers chose to use the names of actually existing people and places rather than setting the story in an entirely fictional universe.Many of these problems have been pointed out in far more detail in think pieces, but just to quickly summarize the most egregious ones:1) The science depicted is completely wrong, from the magnitude of the disaster to the real effects of radiation on humans. One is only left to wonder how come if the people on the "bridge of death" several kilometers away supposedly died from the effects of radiation, all of the supervisors (who were in the nuclear plant at the time of the accident) survived for decades 2) Many of the events depicted are either complete fabrications, or have been blown out of proportion 3) Of the remaining few that actually did happen, their order is often wrong 4) The Soviet State of the late 80s, while repressive, didn't go around murdering or threatening to murder its own citizens 5) For all the expository scienc-ey talk about rector cores, DNA damage, etc. the real dangers of radiation and nuclear fallout are never properly explained, leaving the viewer wondering what the stakes are and how and why decisions are being taken The most plausible explanation of why the writers chose to twist the facts to such absurd extremes is that if they had done otherwise there wouldn't be a story worth telling, in which case one is left to wonder why would they choose to adapt it in the first place.	4
 INACCURATE 	I'm honestly shocked that this show has such amazing ratings and reviews. I'm Ukrainian and I was so disappointed with how this show had so many inaccuracies.I had to force myself to watch the entire season, because the timeline was so slow and repetitive. I love watching anything about Chernobyl, but this show was such a disappointment. As a Ukrainian, I'm not happy with how this show depicted this tragedy.	4
 made up character for Social justice 	Ulmana khomyuk was created to be a powerful "wahman" to represent the conviction and courage of the two MEN main characters? Way to totally and completely take away from the character and conviction of the two main characters in order to inject a BS SJW feminist narrative. I would have rated this mini series a 8 or 9 has that type of agenda pushing idiocy not corrupted the story. What a fkup!	4
 Dramatic story but absolute fictional nonsense 	The story so extremely well told, with excellent acting and directing. Just a pity that the science is so disgustingly wrong. Like, not even close. I get enhancing for the drama, but stories like this is the reason why we have to argue with people whether the world is round. I encourage you to go read the actual story and take this series for what it is is; mindless entertainment. Do not trust the science.	4
 Most Overrated show in history cuz its already highest rated what a joke 	Thanks to americans and their propaganda against soviet union obviously they're giving it 10/10 and those people who are not americans surely wont like it much as them .. There are many good shows to watch My advice just skip this nonsense	4
 Drama but not reality 	USSR built without safety in mind. Enough is true in the show to give it credibility. But much more is given to fear that is not science based. The radiation burns, radiation sickness, lost pregnancies, etc portrays horror above and beyond reality and stokes fear. And please don't @ me with "well any nuclear death is bad". I just want real science not a dystopian fear.	4
 A bit disappointing 	Great cinematography that creates a sense of realism, but they really should have used Russian actors. The British accents just don't work.	4
 A mix of truth and lies 	The major aim of this production seems to be to preach to the choir of hardcore Western capitalists what they already believed about the USSR and even Socialism in general. In this it obviously succeeded. While the technical aspects of the incident are mostly presented accurately, the malevolence of Soviet officials is comically exaggerated, their unwillingness to request outside help likewise, and there is gross scientific disinformation on the health effects of radiation exposure, introduced just for shock value. All I can hope is that this show made more people web-search "was Chernobyl TV show accurate" than it made blindly up-vote this show on ratings websites.	4
 While great it is NOT accurate. 	Which is a pity.If they had done the science correct it would have been a 10.Otherwise I did enjoy it but it needs to be taken as a fictional drama.If you need to know the science just hit YouTube with either Scot Manley or Thunderf00t as the starting point.	4
 A long documentary and that's all 	You people who gave it 10 stars don't watch too many documentaries, do you? Descovery has oh so many every day, but you watch only HBO and Netflix, no? This mini serie is a long boring documentary about Cernobîl. You could skip to the last episode to see what really happened, otherwise is a waste of time.	4
 Disappointed 	Nice visual details but the acting and how was regized has that british taste and feel, i dont feel that soviet air in their face expressions and tone of the voice. They all look and sound like Boris Johnson. How can you compare this with GoT and Breaking Bad ?! This was a gruesome tragedy and HBO should of treat it with more quality and not making it look like all Discovery and History Channel documentaries.The fake naivety of Valery Legasov, the chrysis in the control room of the reactor, that scene with Babushka monologue when the soldier came to evacuate her, she was acting like John Wick, all that lack of expresion and silent drama, was nothing slavic about this scenes and many others.	4
